Shape,Size,Texture,Color,Chalkness,AspectRatio,Perimeter,HueMean,SaturationMean,ChalkinessRatio,GLCM_Contrast,GLCM_Homogeneity,EdgeDensity,Label
104.0,7186824.5,45.83947785881393,42.355936712962965,130.870361328125,0.45,14101.049102425575,0.5580167145060954,0.17939327745223202,0.015569166666664504,20.642906614785993,0.35233287111214323,0.004673333333332684,RC 160
72.0,7188103.5,45.68448070063308,42.12357347222222,130.8671112060547,0.45,13795.28460252285,0.5632872268517736,0.18349502604164117,0.014647916666664632,19.748507087270706,0.35715350087814524,0.004199722222221639,RC 160
152.0,7183532.0,44.823019227653745,39.298171851851855,129.3087615966797,0.45,15070.824917316437,0.6001905717591758,0.2502454969617708,0.009172638888887615,14.8189730405781,0.3863676371561996,0.0022924999999996815,RC 160
294.0,7175838.5,45.583594558635944,36.896014675925926,130.24163818359375,0.45,17395.45771586895,0.5824856219134993,0.22301597547739957,0.011498194444442847,17.702298082267923,0.4023772461397308,0.006225277777776913,RC 160
137.0,7184224.5,44.95307596492653,38.878351296296294,130.29446411132812,0.45,14898.450248479843,0.5705725231480688,0.20145093315969423,0.008699999999998792,14.05559018899389,0.4017317377779275,0.0016856944444442103,RC 160
100.0,7185979.5,42.11775358892323,45.05595560185185,130.43580627441406,0.45,14110.789216518402,0.5553272808641204,0.14220666069876498,0.009936527777776398,24.868862562534737,0.34298505475220975,0.012152499999998312,RC 160
163.0,7182606.0,41.462600126197565,41.65333777777778,130.8795166015625,0.45,15010.883791923523,0.5599131921295518,0.14845390245223633,0.007576944444443392,22.302615202890493,0.3425886891226947,0.008937777777776537,RC 160
62.0,7189396.0,42.421498136562064,46.227325879629625,130.4562530517578,0.45,13062.861162424088,0.5809596558641168,0.1531906684027565,0.010132916666665258,21.05545608671484,0.34676592951929763,0.0060493055555547156,RC 160
44.0,7191133.5,56.63438699436782,67.47500203703703,131.1815643310547,0.45,13042.819531798363,0.5861863155863383,0.1677613308376503,0.05263847222221491,40.03551820455808,0.27531371898036383,0.0269481944444407,RC 160
143.0,7183198.0,41.67532852183153,38.90356810185185,127.80259704589844,0.45,15386.849301338196,0.5857214745369556,0.21336743869354674,0.006014027777776943,13.196815869927738,0.4052604918666424,0.0021733333333330313,RC 160
221.0,7179417.5,43.873992214615264,41.26015175925925,130.34854125976562,0.45,15693.140712738037,0.5803458186727588,0.19897910970049318,0.009802916666665305,19.693519733185102,0.37004792887137794,0.004951249999999312,RC 160
188.0,7177495.0,46.243790133890265,47.50888175925926,130.4561767578125,0.45,16608.500224232674,0.5523907978394295,0.17748898003469757,0.01838847222221967,33.33523763201779,0.3072481870261784,0.01649208333333104,RC 160
